product_id,source_store_id,store_name,title,brand,price,size_value,size_unit,unit_price,unit_price_unit,organic,category,ingredient_key,ingredient_form,is_synthetic,packaging,nutrition,labels
prod_pure_indian_foods_0017,pure_indian_foods,Pure Indian Foods,Bombay Chaat Masala Ground,Pure Indian Foods,5.99,2.0,oz,2.995,oz,True,spices,bay leaves,powder,False,Glass jar with plastic cap,,
prod_pure_indian_foods_0018,pure_indian_foods,Pure Indian Foods,Black Turmeric,Pure Indian Foods,8.99,2.0,oz,4.495,oz,True,spices,turmeric,unknown,False,Glass jar with plastic cap,,
prod_pure_indian_foods_0019,pure_indian_foods,Pure Indian Foods,Lakadong Turmeric (High Curcumin >7%),Pure Indian Foods,6.99,3.0,oz,2.33,oz,True,spices,turmeric,unknown,False,Glass jar with plastic cap,,
prod_pure_indian_foods_0020,pure_indian_foods,Pure Indian Foods,Chipotle Morita Chili Pepper,Pure Indian Foods,9.99,5.0,oz,1.998,oz,True,pantry,unknown,unknown,False,Glass jar with plastic cap,,
prod_pure_indian_foods_0021,pure_indian_foods,Pure Indian Foods,KICK Salt - Himalayan Pink Salt & Smoked Ghost Pepper,Pure Indian Foods,4.99,4.5,oz,1.1089,oz,True,pantry,unknown,unknown,False,Glass jar with plastic cap,,
prod_pure_indian_foods_0022,pure_indian_foods,Pure Indian Foods,Ghost Pepper (Smoked Bhut Jolokia) Ground,Pure Indian Foods,4.99,1.0,oz,4.99,oz,True,pantry,unknown,powder,False,Glass jar with plastic cap,,
prod_pure_indian_foods_0023,pure_indian_foods,Pure Indian Foods,Kashmiri Saffron,Pure Indian Foods,20.99,1.0,g,595.0558,oz,True,pantry,unknown,unknown,False,Glass jar with plastic cap,,
prod_pure_indian_foods_0024,pure_indian_foods,Pure Indian Foods,Combo Pack of 6 Spices,Pure Indian Foods,34.68,6.0,pack,5.78,oz,True,pantry,unknown,unknown,False,Glass jar with plastic cap,,
prod_pure_indian_foods_0025,pure_indian_foods,Pure Indian Foods,Fennel Seed,Pure Indian Foods,5.61,3.0,oz,1.87,oz,True,pantry,unknown,unknown,False,Glass jar with plastic cap,,
prod_pure_indian_foods_0026,pure_indian_foods,Pure Indian Foods,Curry Leaves Dried,Pure Indian Foods,11.99,1.0,oz,11.99,oz,True,pantry,unknown,leaves,False,Glass jar with plastic cap,,
prod_pure_indian_foods_0027,pure_indian_foods,Pure Indian Foods,Tellicherry Special Extra Bold Peppercorns,Pure Indian Foods,7.83,3.0,oz,2.61,oz,True,pantry,unknown,unknown,False,Glass jar with plastic cap,,
prod_pure_indian_foods_0028,pure_indian_foods,Pure Indian Foods,Sesame Seeds Black,Pure Indian Foods,6.99,8.0,oz,0.8738,oz,True,pantry,unknown,seeds,False,Glass jar with plastic cap,,
prod_pure_indian_foods_0029,pure_indian_foods,Pure Indian Foods,Vindaloo Curry Seasoning,Pure Indian Foods,6.49,2.25,oz,2.8844,oz,True,pantry,unknown,unknown,False,Glass jar with plastic cap,,
prod_pure_indian_foods_0030,pure_indian_foods,Pure Indian Foods,Vanilla Pure Extract,Pure Indian Foods,8.99,2.0,floz,4.495,oz,True,pantry,unknown,unknown,False,Glass jar with plastic cap,,
prod_pure_indian_foods_0031,pure_indian_foods,Pure Indian Foods,Turmeric Root Ground (High Curcumin 4-5%),Pure Indian Foods,6.99,3.0,oz,2.33,oz,True,spices,turmeric,powder,False,Glass jar with plastic cap,,
prod_pure_indian_foods_0032,pure_indian_foods,Pure Indian Foods,Turmeric Root Ground (High Curcumin 4-5%),Pure Indian Foods,15.99,8.0,oz,1.9988,oz,True,spices,turmeric,powder,False,Glass jar with plastic cap,,
prod_pure_indian_foods_0033,pure_indian_foods,Pure Indian Foods,Tandoori Masala Seasoning,Pure Indian Foods,6.49,2.25,oz,2.8844,oz,True,pantry,unknown,unknown,False,Glass jar with plastic cap,,
prod_pure_indian_foods_0034,pure_indian_foods,Pure Indian Foods,Turmeric Root Coarse Granules,Pure Indian Foods,6.99,2.5,oz,2.796,oz,True,spices,turmeric,unknown,False,Glass jar with plastic cap,,
prod_pure_indian_foods_0035,pure_indian_foods,Pure Indian Foods,Star Anise Whole,Pure Indian Foods,8.99,0.8,oz,11.2375,oz,True,pantry,unknown,whole,False,Glass jar with plastic cap,,
prod_pure_indian_foods_0036,pure_indian_foods,Pure Indian Foods,Indian Spice Passport,Pure Indian Foods,19.99,,,0.0,oz,True,pantry,unknown,unknown,False,Glass jar with plastic cap,,
prod_pure_indian_foods_0037,pure_indian_foods,Pure Indian Foods,Sambar Powder,24 Mantra,3.99,3.5,oz,1.14,oz,True,pantry,unknown,powder,False,Plastic bag,,
prod_pure_indian_foods_0038,pure_indian_foods,Pure Indian Foods,La Mancha D.O.P. Spanish Saffron 1g Glass Bottle,Pure Indian Foods,20.99,1.0,g,595.0558,oz,True,pantry,unknown,unknown,False,Glass jar with plastic cap,,
prod_pure_indian_foods_0039,pure_indian_foods,Pure Indian Foods,Rasam Powder,24 Mantra,3.99,3.5,oz,1.14,oz,True,pantry,unknown,powder,False,Plastic bag,,
prod_pure_indian_foods_0040,pure_indian_foods,Pure Indian Foods,Nutmeg,Pure Indian Foods,7.99,2.0,oz,3.995,oz,True,pantry,unknown,unknown,False,Glass jar with plastic cap,,
prod_pure_indian_foods_0041,pure_indian_foods,Pure Indian Foods,Mustard Seed Brown,Pure Indian Foods,4.99,3.0,oz,1.6633,oz,True,pantry,unknown,unknown,False,Glass jar with plastic cap,,
prod_pure_indian_foods_0042,pure_indian_foods,Pure Indian Foods,Mustard Seed Yellow,Pure Indian Foods,4.99,3.0,oz,1.6633,oz,True,pantry,unknown,unknown,False,Glass jar with plastic cap,,
prod_pure_indian_foods_0043,pure_indian_foods,Pure Indian Foods,Mace,Pure Indian Foods,4.99,1.0,oz,4.99,oz,True,pantry,unknown,unknown,False,Glass jar with plastic cap,,
prod_pure_indian_foods_0044,pure_indian_foods,Pure Indian Foods,Kitchari Spice Mix,Pure Indian Foods,6.99,2.5,oz,2.796,oz,True,pantry,unknown,unknown,False,Glass jar with plastic cap,,
prod_pure_indian_foods_0045,pure_indian_foods,Pure Indian Foods,Kashmiri Chili Powder (Mild),Pure Indian Foods,6.49,2.0,oz,3.245,oz,True,pantry,unknown,powder,False,Glass jar with plastic cap,,
prod_pure_indian_foods_0046,pure_indian_foods,Pure Indian Foods,Ginger Root Powder,Pure Indian Foods,5.34,2.0,oz,2.67,oz,True,produce,ginger,powder,False,Glass jar with plastic cap,,
prod_pure_indian_foods_0047,pure_indian_foods,Pure Indian Foods,Ginger Root Powder,Pure Indian Foods,12.99,8.0,oz,1.6238,oz,True,produce,ginger,powder,False,Glass jar with plastic cap,,
prod_pure_indian_foods_0048,pure_indian_foods,Pure Indian Foods,Fenugreek Leaves (Kasoori Methi),Pure Indian Foods,10.99,1.3,oz,8.4538,oz,True,pantry,unknown,leaves,False,Glass jar with plastic cap,,
prod_pure_indian_foods_0049,pure_indian_foods,Pure Indian Foods,Fenugreek Seed,Pure Indian Foods,4.99,3.0,oz,1.6633,oz,True,pantry,unknown,unknown,False,Glass jar with plastic cap,,
