product_id,source_store_id,store_name,title,brand,price,size_value,size_unit,unit_price,unit_price_unit,organic,category,ingredient_key,ingredient_form,is_synthetic,packaging
prod_freshdirect_0080,freshdirect,FreshDirect,Dry Roasted Peanuts Lightly Salted (16oz),Planters,7.99,16.0,oz,0.4994,oz,False,pantry,unknown,unknown,False,
prod_freshdirect_0081,freshdirect,FreshDirect,Organic Dry Roasted Peanuts Unsalted (16oz),Once Again,11.99,16.0,oz,0.7494,oz,True,pantry,unknown,unknown,False,
prod_freshdirect_0001,freshdirect,FreshDirect,"All Natural Chicken Meatballs, Zesty Italian Style with Mozzarella Cheese",Aidells,8.49,1.5,lb,0.5306,oz,False,protein_poultry,chicken,unknown,False,
prod_freshdirect_0002,freshdirect,FreshDirect,"All Natural Smoked Chicken Sausage, Chicken & Apple",Aidells,8.49,1.5,lb,0.5306,oz,False,protein_poultry,chicken,unknown,False,
prod_freshdirect_0003,freshdirect,FreshDirect,"All-Natural Smoked Chicken Sausage, Roasted Garlic & Gruyere Cheese",Aidells,8.49,1.5,lb,0.5306,oz,False,protein_poultry,chicken,unknown,False,
prod_freshdirect_0004,freshdirect,FreshDirect,"Soup, No Chicken Noodle",Amy's,5.49,1.5,lb,0.3431,oz,False,protein_poultry,chicken,unknown,False,
prod_freshdirect_0005,freshdirect,FreshDirect,Natural Chicken Broth,Aneto,9.49,1.5,lb,0.5931,oz,False,protein_poultry,chicken,unknown,False,
prod_freshdirect_0007,freshdirect,FreshDirect,Organic Boneless Skinless Chicken Breasts Value Pack,Farmer Focus,8.99,1.5,lb,0.5619,oz,True,protein_poultry,chicken,unknown,False,
prod_freshdirect_0008,freshdirect,FreshDirect,Organic Boneless Skinless Chicken Thighs,Farmer Focus,8.29,1.5,lb,0.5181,oz,True,protein_poultry,chicken,unknown,False,
prod_freshdirect_0009,freshdirect,FreshDirect,Organic Whole Chicken,Farmer Focus,4.99,3.5,lb,0.3119,oz,True,protein_poultry,chicken,whole,False,
prod_freshdirect_0010,freshdirect,FreshDirect,Barbecue Rotisserie Chicken,FreshDirect,8.99,1.5,lb,0.5619,oz,False,protein_poultry,chicken,unknown,False,
prod_freshdirect_0011,freshdirect,FreshDirect,"Breaded Chicken Cutlet, Uncooked",FreshDirect,11.49,1.5,lb,0.7181,oz,False,protein_poultry,chicken,unknown,False,
prod_freshdirect_0012,freshdirect,FreshDirect,Buffalo Chicken Fingers,FreshDirect,11.49,1.5,lb,0.7181,oz,False,protein_poultry,chicken,unknown,False,
prod_freshdirect_0013,freshdirect,FreshDirect,Chicken Caesar Salad,FreshDirect,9.49,1.5,lb,0.5931,oz,False,protein_poultry,chicken,unknown,False,
prod_freshdirect_0014,freshdirect,FreshDirect,Rotisserie Chicken,FreshDirect,8.99,1.5,lb,0.5619,oz,False,protein_poultry,chicken,unknown,False,
prod_freshdirect_0015,freshdirect,FreshDirect,Cracked Black Pepper Chicken Breast,Just FreshDirect,8.99,1.5,lb,0.5619,oz,False,protein_poultry,chicken,unknown,False,
prod_freshdirect_0016,freshdirect,FreshDirect,Herb and Garlic Chicken Breast,Just FreshDirect,8.99,1.5,lb,0.5619,oz,False,protein_poultry,chicken,unknown,False,
prod_freshdirect_0017,freshdirect,FreshDirect,"Boneless Skinless Chicken Breasts, Air-Chilled, Raised w/o Antibiotics",Katie's Best,7.99,1.5,lb,0.4994,oz,False,protein_poultry,chicken,unknown,False,
prod_freshdirect_0018,freshdirect,FreshDirect,"Boneless Skinless Chicken Thighs, Air-Chilled, Raised w/o Antibiotics",Katie's Best,6.99,1.5,lb,0.4369,oz,False,protein_poultry,chicken,unknown,False,
